SPECIESID,SpecCode,Genus,Species,FBname,Kingdom,Phylum,Class,Order,Family,group,genus_species,iucn_category,iucn_criteria,iucn_population_trend,iucn_published_year,iucn_weight
W-Msc-555171,148743,Eucorys,bartschi,NA,Animalia,Mollusca,Gastropoda,Neotaenioglossa,Cassidae,Gastropods,Eucorys bartschi,NA,NA,NA,NA,NA
W-Msc-491213,148756,Pareuthria,cerealis,NA,Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Gastropods,Pareuthria cerealis,NA,NA,NA,NA,NA
SLB-177661,148767,Polygona,angulata,NA,Animalia,Mollusca,Gastropoda,Neogastropoda,Fasciolariidae,Gastropods,Polygona angulata,NA,NA,NA,NA,NA
W-Msc-420157,148806,Prunum,hartleyanum,NA,Animalia,Mollusca,Gastropoda,Neogastropoda,Marginellidae,Gastropods,Prunum hartleyanum,NA,NA,NA,NA,NA
W-Msc-420662,148838,Ledella,solidula,NA,Animalia,Mollusca,Bivalvia,Nuculoida,Nuculanidae,Bivalves,Ledella solidula,NA,NA,NA,NA,NA
W-Msc-490699,148984,Anomacme,smithi,NA,Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Gastropods,Anomacme smithi,NA,NA,NA,NA,NA
W-Msc-491217,148986,Pareuthria,michaelseni,NA,Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Gastropods,Pareuthria michaelseni,NA,NA,NA,NA,NA
W-Msc-491311,149020,Prosipho,astrolabiensis,NA,Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Gastropods,Prosipho astrolabiensis,NA,NA,NA,NA,NA
W-Msc-533166,149027,Neactaeonina,cingulata,NA,Animalia,Mollusca,Gastropoda,Heterostropha,Acteonidae,Gastropods,Neactaeonina cingulata,NA,NA,NA,NA,NA
SLB-177939,149097,Oscilla,somersi,NA,Animalia,Mollusca,Gastropoda,Heterostropha,Pyramidellidae,Gastropods,Oscilla somersi,NA,NA,NA,NA,NA
W-Msc-419389,149167,Echinogurges,clavatus,NA,Animalia,Mollusca,Gastropoda,Vetigastropoda,Chilodontidae,Gastropods,Echinogurges clavatus,NA,NA,NA,NA,NA
